Symbol	Synonyms	dbXrefs	chromosome	map_location	description	type_of_gene	Symbol_from_nomenclature_authority	Full_name_from_nomenclature_authority	Other_designations	Modification_date
ARSDP1	ARSDP|ARSDY1	HGNC:HGNC:718	Y	Yq11.21	arylsulfatase D pseudogene 1	pseudo	ARSDP1	arylsulfatase D pseudogene 1	"arylsulfatase D, Y-linked, pseudogene 1"	20210302
CHAF1A	CAF-1|CAF1|CAF1B|CAF1P150|P150	MIM:601246|HGNC:HGNC:1910|Ensembl:ENSG00000167670	19	19p13.3	chromatin assembly factor 1 subunit A	protein-coding	CHAF1A	chromatin assembly factor 1 subunit A	chromatin assembly factor 1 subunit A|CAF-1 subunit A|CAF-I 150 kDa subunit|CAF-I p150|CTB-50L17.7|chromatin assembly factor I (150 kDa)|chromatin assembly factor I p150 subunit|hp150	20210307
PARP2	ADPRT2|ADPRTL2|ADPRTL3|ARTD2|PARP-2|pADPRT-2	MIM:607725|HGNC:HGNC:272|Ensembl:ENSG00000129484	14	14q11.2	poly(ADP-ribose) polymerase 2	protein-coding	PARP2	poly(ADP-ribose) polymerase 2	"poly [ADP-ribose] polymerase 2|ADP-ribosyltransferase (NAD+; poly(ADP-ribose) polymerase)-like 2|ADP-ribosyltransferase diphtheria toxin-like 2|ADPRT-2|DNA ADP-ribosyltransferase PARP2|NAD(+) ADP-ribosyltransferase 2|hPARP-2|poly (ADP-ribose) polymerase family, member 2|poly (ADP-ribosyl) transferase-like 2|poly[ADP-ribose] synthase 2|poly[ADP-ribose] synthetase 2|protein poly-ADP-ribosyltransferase PARP2"	20210302
PARP3	ADPRT3|ADPRTL2|ADPRTL3|ARTD3|IRT1|PADPRT-3	MIM:607726|HGNC:HGNC:273|Ensembl:ENSG00000041880	3	3p21.2	poly(ADP-ribose) polymerase family member 3	protein-coding	PARP3	poly(ADP-ribose) polymerase family member 3	protein mono-ADP-ribosyltransferase PARP3|ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)-like 2|ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)-like 3|ADP-ribosyltransferase diphtheria toxin-like 3|ADPRT-3|DNA ADP-ribosyltransferase PARP3|NAD(+) ADP-ribosyltransferase 3|NAD+ ADP-ribosyltransferase 3|poly [ADP-ribose] polymerase 3|poly(ADP-ribose) synthetase-3|poly[ADP-ribose] synthase 3|poly[ADP-ribose] synthetase 3	20210302
TOM1L1	SRCASM	MIM:604701|HGNC:HGNC:11983|Ensembl:ENSG00000141198	17	17q22	target of myb1 like 1 membrane trafficking protein	protein-coding	TOM1L1	target of myb1 like 1 membrane trafficking protein	TOM1-like protein 1|src-activating and signaling molecule protein|target of Myb-like protein 1	20210302
HMGXB4	HMG2L1|HMGBCG|THC211630	MIM:604702|HGNC:HGNC:5003|Ensembl:ENSG00000100281	22	22q12.3	HMG-box containing 4	protein-coding	HMGXB4	HMG-box containing 4	HMG domain-containing protein 4|HMG box domain containing 4|HMG box-containing protein 4|high mobility group protein 2-like 1	20210302
TOM1	-	MIM:604700|HGNC:HGNC:11982|Ensembl:ENSG00000100284	22	22q12.3	target of myb1 membrane trafficking protein	protein-coding	TOM1	target of myb1 membrane trafficking protein	target of Myb protein 1|target of myb 1	20210302
SH2D3C	CHAT|NSP3|PRO34088|SHEP1	MIM:604722|HGNC:HGNC:16884|Ensembl:ENSG00000095370	9	9q34.11	SH2 domain containing 3C	protein-coding	SH2D3C	SH2 domain containing 3C	SH2 domain-containing protein 3C|SH2 domain-containing Eph receptor-binding protein 1|cas/HEF1-associated signal transducer|chat-H|novel SH2-containing protein 3	20210302
SH2D3A	NSP1	MIM:604721|HGNC:HGNC:16885|Ensembl:ENSG00000125731	19	19p13.3	SH2 domain containing 3A	protein-coding	SH2D3A	SH2 domain containing 3A	SH2 domain-containing protein 3A|novel SH2-containing protein 1	20210302
MAMLD1	CG1|CXorf6|F18|HYSP2	MIM:300120|HGNC:HGNC:2568|Ensembl:ENSG00000013619	X	Xq28	mastermind like domain containing 1	protein-coding	MAMLD1	mastermind like domain containing 1	mastermind-like domain-containing protein 1	20210302
CST8	CRES|CTES5	MIM:608683|HGNC:HGNC:2480|Ensembl:ENSG00000125815	20	20p11.21	cystatin 8	protein-coding	CST8	cystatin 8	cystatin-8|cystatin 8 (cystatin-related epididymal specific)|cystatin-related epididymal spermatogenic protein|epididymis secretory sperm binding protein	20210302
RANBP9	BPM-L|BPM90|RANBPM|RanBP7	MIM:603854|HGNC:HGNC:13727|Ensembl:ENSG00000010017	6	6p23	RAN binding protein 9	protein-coding	RANBP9	RAN binding protein 9	"ran-binding protein 9|Ran Binding Protein in the Microtubule organizing center|novel centrosomal protein RanBPM|ran binding protein, centrosomal|ran-binding protein M"	20210307
DNAJB6	DJ4|DnaJ|HHDJ1|HSJ-2|HSJ2|LGMD1D|LGMD1E|LGMDD1|MRJ|MSJ-1	MIM:611332|HGNC:HGNC:14888|Ensembl:ENSG00000105993	7	7q36.3	DnaJ heat shock protein family (Hsp40) member B6	protein-coding	DNAJB6	DnaJ heat shock protein family (Hsp40) member B6	"dnaJ homolog subfamily B member 6|DnaJ (Hsp40) homolog, subfamily B, member 6|DnaJ-like 2 protein|heat shock protein J2"	20210307
SLC17A4	KAIA2138	MIM:604216|HGNC:HGNC:10932|Ensembl:ENSG00000146039	6	6p22.2	solute carrier family 17 member 4	protein-coding	SLC17A4	solute carrier family 17 member 4	"probable small intestine urate exporter|Na/PO4 cotransporter|putative small intestine sodium-dependent phosphate transport protein|solute carrier family 17 (sodium phosphate), member 4"	20210302
SMC4	CAP-C|CAPC|SMC-4|SMC4L1	MIM:605575|HGNC:HGNC:14013|Ensembl:ENSG00000113810	3	3q25.33	structural maintenance of chromosomes 4	protein-coding	SMC4	structural maintenance of chromosomes 4	structural maintenance of chromosomes protein 4|SMC protein 4|SMC4 structural maintenance of chromosomes 4-like 1|chromosome-associated polypeptide C	20210307
GJC1	CX45|GJA7	MIM:608655|HGNC:HGNC:4280|Ensembl:ENSG00000182963	17	17q21.31	gap junction protein gamma 1	protein-coding	GJC1	gap junction protein gamma 1	"gap junction gamma-1 protein|CTC-296K1.4|connexin-45|gap junction alpha-7 protein|gap junction protein, gamma 1, 45kDa"	20210302
AP1M2	AP1-mu2|HSMU1B|MU-1B|MU1B|mu2	MIM:607309|HGNC:HGNC:558|Ensembl:ENSG00000129354	19	19p13.2	adaptor related protein complex 1 subunit mu 2	protein-coding	AP1M2	adaptor related protein complex 1 subunit mu 2	AP-1 complex subunit mu-2|AP-mu chain family member mu1B|HA1 47 kDa subunit 2|adaptor protein complex AP-1 mu-2 subunit|adaptor related protein complex 1 mu 2 subunit|clathrin assembly protein complex 1 mu-2 medium chain 2|clathrin coat assembly protein AP47 2|clathrin coat associated protein AP47 2|clathrin-associated adaptor medium chain mu2|golgi adaptor AP-1 47 kDa protein|golgi adaptor HA1/AP1 adaptin mu-2 subunit|mu-adaptin 2|mu1B-adaptin	20210302
UBA2	ARX|HRIHFB2115|SAE2	MIM:613295|HGNC:HGNC:30661|Ensembl:ENSG00000126261	19	19q13.11	ubiquitin like modifier activating enzyme 2	protein-coding	UBA2	ubiquitin like modifier activating enzyme 2	"SUMO-activating enzyme subunit 2|SUMO-1 activating enzyme subunit 2|SUMO1 activating enzyme subunit 2|UBA2, ubiquitin-activating enzyme E1 homolog|anthracycline-associated resistance ARX|ubiquitin-like 1-activating enzyme E1B"	20210307
SAE1	AOS1|HSPC140|SUA1|UBLE1A	MIM:613294|HGNC:HGNC:30660|Ensembl:ENSG00000142230	19	19q13.32	SUMO1 activating enzyme subunit 1	protein-coding	SAE1	SUMO1 activating enzyme subunit 1	SUMO-activating enzyme subunit 1|SUMO-1 activating enzyme E1 N subunit|SUMO-1 activating enzyme subunit 1|activator of SUMO1|sentrin/SUMO-activating protein AOS1|ubiquitin-like 1-activating enzyme E1A|ubiquitin-like protein SUMO-1 activating enzyme	20210302
FARSB	FARSLB|FRSB|HSPC173|NEDBLLA|PheHB|PheRS|RILDBC|RILDBC1	MIM:609690|HGNC:HGNC:17800|Ensembl:ENSG00000116120	2	2q36.1	phenylalanyl-tRNA synthetase subunit beta	protein-coding	FARSB	phenylalanyl-tRNA synthetase subunit beta	"phenylalanine--tRNA ligase beta subunit|phenylalanine tRNA ligase 1, beta, cytoplasmic|phenylalanine-tRNA ligase beta chain|phenylalanine-tRNA synthetase-like, beta subunit|phenylalanyl-tRNA synthetase beta chain|phenylalanyl-tRNA synthetase beta subunit|phenylalanyl-tRNA synthetase-like, beta subunit"	20210302
ABCC5	ABC33|EST277145|MOAT-C|MOATC|MRP5|SMRP|pABC11	MIM:605251|HGNC:HGNC:56|Ensembl:ENSG00000114770	3	3q27.1	ATP binding cassette subfamily C member 5	protein-coding	ABCC5	ATP binding cassette subfamily C member 5	"multidrug resistance-associated protein 5|ATP-binding cassette, sub-family C (CFTR/MRP), member 5|canalicular multispecific organic anion transporter C|multi-specific organic anion transporter C"	20210302
ABCB6	ABC|LAN|MTABC3|PRP|umat	MIM:605452|HGNC:HGNC:47|Ensembl:ENSG00000115657	2	2q35	ATP binding cassette subfamily B member 6 (Langereis blood group)	protein-coding	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	"ATP-binding cassette sub-family B member 6, mitochondrial|ATP-binding cassette half-transporter|ATP-binding cassette, sub-family B (MDR/TAP), member 6 (Langereis blood group)|P-glycoprotein-related protein|mitochondrial ABC transporter 3|mt-ABC transporter 3|truncated ATP binding cassette subfamily b member 6|ubiquitously-expressed mammalian ABC half transporter"	20210302
DNM1L	DLP1|DRP1|DVLP|DYMPLE|EMPF|EMPF1|HDYNIV|OPA5	MIM:603850|HGNC:HGNC:2973|Ensembl:ENSG00000087470	12	12p11.21	dynamin 1 like	protein-coding	DNM1L	dynamin 1 like	dynamin-1-like protein|Dnm1p/Vps1p-like protein|dynamin family member proline-rich carboxyl-terminal domain less|dynamin-like protein 4|dynamin-like protein IV|dynamin-related protein 1	20210307
ABCC9	ABC37|ATFB12|CANTU|CMD1O|SUR2	MIM:601439|HGNC:HGNC:60|Ensembl:ENSG00000069431	12	12p12.1	ATP binding cassette subfamily C member 9	protein-coding	ABCC9	ATP binding cassette subfamily C member 9	"ATP-binding cassette sub-family C member 9|ATP-binding cassette transporter sub-family C member 9|ATP-binding cassette, sub-family C (CFTR/MRP), member 9|sulfonylurea receptor 2"	20210302
ABCF2	ABC28|EST133090|HUSSY-18|HUSSY18	MIM:612510|HGNC:HGNC:71|Ensembl:ENSG00000033050	7	7q36.1	ATP binding cassette subfamily F member 2	protein-coding	ABCF2	ATP binding cassette subfamily F member 2	"ATP-binding cassette sub-family F member 2|ABC-type transport protein|ATP-binding cassette, sub-family F (GCN20), member 2|iron-inhibited ABC transporter 2"	20210307
NR1H3	LXR-a|LXRA|RLD-1	MIM:602423|HGNC:HGNC:7966|Ensembl:ENSG00000025434	11	11p11.2	nuclear receptor subfamily 1 group H member 3	protein-coding	NR1H3	nuclear receptor subfamily 1 group H member 3	oxysterols receptor LXR-alpha|liver X nuclear receptor alpha variant 1	20210302
COX17	-	MIM:604813|HGNC:HGNC:2264|Ensembl:ENSG00000138495	3	3q13.33	cytochrome c oxidase copper chaperone COX17	protein-coding	COX17	cytochrome c oxidase copper chaperone COX17	"cytochrome c oxidase copper chaperone|COX17 cytochrome c oxidase assembly homolog|COX17, cytochrome c oxidase copper chaperone|cytochrome c oxidase 17 copper chaperone|cytochrome c oxidase assembly homolog 17|human homolog of yeast mitochondrial copper recruitment"	20210302
VDAC1P2	VDAC1LP	HGNC:HGNC:12670	X	Xp11.23	voltage dependent anion channel 1 pseudogene 2	pseudo	VDAC1P2	voltage dependent anion channel 1 pseudogene 2	voltage-dependent anion channel 1-like pseudogene	20210302
SCAMP2	-	MIM:606912|HGNC:HGNC:10564|Ensembl:ENSG00000140497	15	15q24.1	secretory carrier membrane protein 2	protein-coding	SCAMP2	secretory carrier membrane protein 2	secretory carrier-associated membrane protein 2|testis secretory sperm-binding protein Li 219p	20210302
SCAMP3	C1orf3	MIM:606913|HGNC:HGNC:10565|Ensembl:ENSG00000116521	1	1q22	secretory carrier membrane protein 3	protein-coding	SCAMP3	secretory carrier membrane protein 3	secretory carrier-associated membrane protein 3|propin 1	20210302
IL18BP	FVH|IL18BPa	MIM:604113|HGNC:HGNC:5987|Ensembl:ENSG00000137496	11	11q13.4	interleukin 18 binding protein	protein-coding	IL18BP	interleukin 18 binding protein	interleukin-18-binding protein|MC51L-53L-54L homolog gene product|tadekinig-alfa	20210302
RWDD2B	C21orf6|GL011	MIM:617843|HGNC:HGNC:1302|Ensembl:ENSG00000156253	21	21q21.3	RWD domain containing 2B	protein-coding	RWDD2B	RWD domain containing 2B	RWD domain-containing protein 2B	20210302
MUC12	MUC-11|MUC-12|MUC11	MIM:604609|HGNC:HGNC:7510|Ensembl:ENSG00000205277	7	7q22.1	"mucin 12, cell surface associated"	protein-coding	MUC12	"mucin 12, cell surface associated"	mucin-12|mucin-11	20210302
DPP3	DPPIII	MIM:606818|HGNC:HGNC:3008|Ensembl:ENSG00000254986	11	11q13.2	dipeptidyl peptidase 3	protein-coding	DPP3	dipeptidyl peptidase 3	dipeptidyl peptidase 3|DPP III|dipeptidyl aminopeptidase III|dipeptidyl arylamidase III|dipeptidyl peptidase III|enkephalinase B	20210302
SNUPN	KPNBL|RNUT1|Snurportin1	MIM:607902|HGNC:HGNC:14245|Ensembl:ENSG00000169371	15	15q24.2	snurportin 1	protein-coding	SNUPN	snurportin 1	snurportin-1|RNA U transporter 1	20210302
HUWE1	ARF-BP1|HECTH9|HSPC272|Ib772|LASU1|MRXST|MULE|URE-B1|UREB1	MIM:300697|HGNC:HGNC:30892|Ensembl:ENSG00000086758	X	Xp11.22	"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1"	protein-coding	HUWE1	"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1"	"E3 ubiquitin-protein ligase HUWE1|ARF-binding protein 1|BJ-HCC-24 tumor antigen|HECT domain protein LASU1|HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase|HECT-type E3 ubiquitin transferase HUWE1|Mcl-1 ubiquitin ligase E3|URE-binding protein 1|homologous to E6AP carboxyl terminus homologous protein 9|large structure of UREB1|upstream regulatory element-binding protein 1"	20210307
PTPRU	FMI|PCP-2|PTP|PTP-J|PTP-PI|PTP-RO|PTPPSI|PTPRO|PTPU2|R-PTP-PSI|R-PTP-U|hPTP-J	MIM:602454|HGNC:HGNC:9683|Ensembl:ENSG00000060656	1	1p35.3	protein tyrosine phosphatase receptor type U	protein-coding	PTPRU	protein tyrosine phosphatase receptor type U	receptor-type tyrosine-protein phosphatase U|PTP pi|Receptor protein tyrosine phosphatase hPTP-J|pancreatic carcinoma phosphatase 2|pi R-PTP-Psi|protein-tyrosine phosphatase J|protein-tyrosine phosphatase pi|protein-tyrosine phosphatase receptor omicron|receptor-type protein-tyrosine phosphatase psi	20210302
TSPAN32	ART1|PHEMX|PHMX|TSSC6	MIM:603853|HGNC:HGNC:13410|Ensembl:ENSG00000064201	11	11p15.5	tetraspanin 32	protein-coding	TSPAN32	tetraspanin 32	tetraspanin-32|pan-hematopoietic expression protein|protein Phemx|tumor-suppressing STF cDNA 6|tumor-suppressing subchromosomal transferable fragment cDNA 6|tumor-suppressing subtransferable candidate 6	20210302
TSSC4	-	MIM:603852|HGNC:HGNC:12386|Ensembl:ENSG00000184281	11	11p15.5	tumor suppressing subtransferable candidate 4	protein-coding	TSSC4	tumor suppressing subtransferable candidate 4	protein TSSC4|tumor-suppressing STF cDNA 4 protein|tumor-suppressing subchromosomal transferable fragment candidate gene 4 protein	20210302
ATP9A	ATPIIA	MIM:609126|HGNC:HGNC:13540|Ensembl:ENSG00000054793	20	20q13.2	ATPase phospholipid transporting 9A (putative)	protein-coding	ATP9A	ATPase phospholipid transporting 9A (putative)	"probable phospholipid-transporting ATPase IIA|ATPase type IV, phospholipid-transporting (P-type),(putative)|ATPase, class II, type 9A|phospholipid-transporting ATPase IIA"	20210302
PDCD7	59K|ES18|HES18	MIM:608138|HGNC:HGNC:8767|Ensembl:ENSG00000090470	15	15q22.31	programmed cell death 7	protein-coding	PDCD7	programmed cell death 7	programmed cell death protein 7|U11/U12 snRNP 59K|apoptosis-related protein ES18	20210302
GPC6	OMIMD1	MIM:604404|HGNC:HGNC:4454|Ensembl:ENSG00000183098	13	13q31.3-q32.1	glypican 6	protein-coding	GPC6	glypican 6	glypican-6|glypican proteoglycan 6	20210302
USH1C	AIE-75|DFNB18|DFNB18A|NY-CO-37|NY-CO-38|PDZ-45|PDZ-73|PDZ-73/NY-CO-38|PDZ73|PDZD7C|ush1cpst	MIM:605242|HGNC:HGNC:12597|Ensembl:ENSG00000006611	11	11p15.1	USH1 protein network component harmonin	protein-coding	USH1C	USH1 protein network component harmonin	"harmonin|Usher syndrome 1C (autosomal recessive, severe)|antigen NY-CO-38/NY-CO-37|autoimmune enteropathy-related antigen AIE-75|renal carcinoma antigen NY-REN-3|usher syndrome type-1C protein"	20210302
PQBP1	MRX2|MRX55|MRXS3|MRXS8|NPW38|RENS1|SHS	MIM:300463|HGNC:HGNC:9330|Ensembl:ENSG00000102103	X	Xp11.23	polyglutamine binding protein 1	protein-coding	PQBP1	polyglutamine binding protein 1	polyglutamine-binding protein 1|38 kDa nuclear protein containing a WW domain|polyglutamine tract-binding protein 1	20210302
EDIL3	DEL1	MIM:606018|HGNC:HGNC:3173|Ensembl:ENSG00000164176	5	5q14.3	EGF like repeats and discoidin domains 3	protein-coding	EDIL3	EGF like repeats and discoidin domains 3	EGF-like repeat and discoidin I-like domain-containing protein 3|EGF-like repeats and discoidin I-like domains 3|developmental endothelial locus-1|developmentally-regulated endothelial cell locus 1 protein|integrin-binding protein DEL1	20210302
HHLA1	PLA2L	MIM:604109|HGNC:HGNC:4904|Ensembl:ENSG00000132297	8	8q24.22	HERV-H LTR-associating 1	protein-coding	HHLA1	HERV-H LTR-associating 1	HERV-H LTR-associating protein 1	20210302
CERT1	CERT|CERTL|COL4A3BP|GPBP|MRD34|STARD11	MIM:604677|HGNC:HGNC:2205|Ensembl:ENSG00000113163	5	5q13.3	ceramide transporter 1	protein-coding	CERT1	ceramide transporter 1	"ceramide transfer protein|StAR-related lipid transfer (START) domain containing 11|collagen type IV alpha 3 binding protein|collagen, type IV, alpha 3 (Goodpasture antigen) binding protein|lipid-transfer protein CERTL"	20210302
KCNK7	K2p7.1|TWIK3	MIM:603940|HGNC:HGNC:6282|Ensembl:ENSG00000173338	11	11q13.1	potassium two pore domain channel subfamily K member 7	protein-coding	KCNK7	potassium two pore domain channel subfamily K member 7	"potassium channel subfamily K member 7|potassium channel, two pore domain subfamily K, member 7|two pore domain K+ channel"	20210302
UST	2OST	MIM:610752|HGNC:HGNC:17223|Ensembl:ENSG00000111962	6	6q25.1	uronyl 2-sulfotransferase	protein-coding	UST	uronyl 2-sulfotransferase	uronyl 2-sulfotransferase|dermatan/chondroitin sulfate 2-sulfotransferase	20210302
ARPC5	ARC16|dJ127C7.3|p16-Arc	MIM:604227|HGNC:HGNC:708|Ensembl:ENSG00000162704	1	1q25.3	actin related protein 2/3 complex subunit 5	protein-coding	ARPC5	actin related protein 2/3 complex subunit 5	"actin-related protein 2/3 complex subunit 5|Arp2/3 protein complex subunit p16|actin related protein 2/3 complex, subunit 5, 16kDa|arp2/3 complex 16 kDa subunit"	20210302
ARPC4	ARC20|P20-ARC	MIM:604226|HGNC:HGNC:707|Ensembl:ENSG00000241553	3	3p25.3	actin related protein 2/3 complex subunit 4	protein-coding	ARPC4	actin related protein 2/3 complex subunit 4	"actin-related protein 2/3 complex subunit 4|actin related protein 2/3 complex, subunit 4, 20kDa|arp2/3 complex 20 kDa subunit|arp2/3 protein complex subunit p20"	20210302
ARPC3	ARC21|p21-Arc	MIM:604225|HGNC:HGNC:706|Ensembl:ENSG00000111229	12	12q24.11	actin related protein 2/3 complex subunit 3	protein-coding	ARPC3	actin related protein 2/3 complex subunit 3	"actin-related protein 2/3 complex subunit 3|ARP2/3 protein complex subunit p21|actin related protein 2/3 complex, subunit 3, 21kDa|arp2/3 complex 21 kDa subunit"	20210302
ARPC1B	ARC41|IMD71|PLTEID|p40-ARC|p41-ARC	MIM:604223|HGNC:HGNC:704|Ensembl:ENSG00000130429	7	7q22.1	actin related protein 2/3 complex subunit 1B	protein-coding	ARPC1B	actin related protein 2/3 complex subunit 1B	"actin-related protein 2/3 complex subunit 1B|ARP2/3 protein complex subunit p41|actin related protein 2/3 complex, subunit 1B, 41kDa|arp2/3 complex 41 kDa subunit"	20210302
ACTR3	ARP3	MIM:604222|HGNC:HGNC:170|Ensembl:ENSG00000115091	2	2q14.1	actin related protein 3	protein-coding	ACTR3	actin related protein 3	actin-related protein 3|ARP3 actin related protein 3 homolog|actin-like protein 3	20210302
ACTR2	ARP2	MIM:604221|HGNC:HGNC:169|Ensembl:ENSG00000138071	2	2p14	actin related protein 2	protein-coding	ACTR2	actin related protein 2	actin-related protein 2|ARP2 actin related protein 2 homolog|actin-like protein 2	20210302
TSPAN5	NET-4|NET4|TM4SF9|TSPAN-5	MIM:613136|HGNC:HGNC:17753|Ensembl:ENSG00000168785	4	4q23	tetraspanin 5	protein-coding	TSPAN5	tetraspanin 5	"tetraspanin-5|tetraspan NET-4|tetraspan TM4SF|transmembrane 4 superfamily member 9|transmembrane 4 superfamily, member 8"	20210302
TSPAN3	TM4-A|TM4SF8|TSPAN-3	MIM:613134|HGNC:HGNC:17752|Ensembl:ENSG00000140391	15	15q24.3	tetraspanin 3	protein-coding	TSPAN3	tetraspanin 3	tetraspanin-3|tetraspan 3|tetraspan TM4SF|tetraspanin TM4-A|transmembrane 4 superfamily member 8	20210302
TSPAN2	NET3|TSN2|TSPAN-2	MIM:613133|HGNC:HGNC:20659|Ensembl:ENSG00000134198	1	1p13.2	tetraspanin 2	protein-coding	TSPAN2	tetraspanin 2	tetraspanin-2|new EST tetraspan 3|tetraspan 2|tetraspan NET-3|tetraspan TM4SF	20210302
NUBP2	CFD1|CIAO6|NBP 2|NUBP1	MIM:610779|HGNC:HGNC:8042|Ensembl:ENSG00000095906	16	16p13.3	nucleotide binding protein 2	protein-coding	NUBP2	nucleotide binding protein 2	"cytosolic Fe-S cluster assembly factor NUBP2|homolog of yeast cytosolic Fe-S cluster deficient 1|nucleotide binding protein 2 (MinD homolog, E. coli)"	20210302
TSFM	EFTS|EFTSMT	MIM:604723|HGNC:HGNC:12367|Ensembl:ENSG00000123297	12	12q14.1	"Ts translation elongation factor, mitochondrial"	protein-coding	TSFM	"Ts translation elongation factor, mitochondrial"	"elongation factor Ts, mitochondrial|mitochondrial elongation factor Ts"	20210302
TSPAN1	NET1|TM4C|TM4SF	MIM:613170|HGNC:HGNC:20657|Ensembl:ENSG00000117472	1	1p34.1	tetraspanin 1	protein-coding	TSPAN1	tetraspanin 1	tetraspanin-1|tetraspan 1	20210302
PPIF	CYP3|CyP-M|Cyp-D|CypD	MIM:604486|HGNC:HGNC:9259|Ensembl:ENSG00000108179	10	10q22.3	peptidylprolyl isomerase F	protein-coding	PPIF	peptidylprolyl isomerase F	"peptidyl-prolyl cis-trans isomerase F, mitochondrial|PPIase F|cyclophilin 3|cyclophilin D|cyclophilin F|mitochondrial cyclophilin|peptidyl-prolyl cis-trans isomerase, mitochondrial|rotamase F"	20210302
CTDSP2	OS4|PSR2|SCP2	MIM:608711|HGNC:HGNC:17077|Ensembl:ENSG00000175215	12	12q14.1	CTD small phosphatase 2	protein-coding	CTDSP2	CTD small phosphatase 2	"carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2|CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2|NLI-interacting factor 2|conserved gene amplified in osteosarcoma|nuclear LIM interactor-interacting factor 2|protein OS-4|small C-terminal domain phosphatase 2|small CTD phosphatase 2"	20210302
TRIM10	HERF1|RFB30|RNF9	MIM:605701|HGNC:HGNC:10072|Ensembl:ENSG00000204613	6	6p22.1	tripartite motif containing 10	protein-coding	TRIM10	tripartite motif containing 10	tripartite motif-containing protein 10|B30-RING finger protein|Zn-finger protein|hematopoietic RING finger 1|ring finger protein 9|tripartite motif protein 10	20210302
MKRN3-AS1	FNZ127|MKRN3-AS|MKRN3AS|NCRNA00009|ZNF127-AS|ZNF127AS	MIM:603857|HGNC:HGNC:12910	15	15q11-q13	MKRN3 antisense RNA 1	ncRNA	MKRN3-AS1	MKRN3 antisense RNA 1	"MKRN3 antisense RNA 1 (non-protein coding)|makorin, ring finger protein, 3 antisense|non-protein coding RNA 9|zinc finger protein 127 antisense"	20190324
ARPC2	ARC34|PNAS-139|PRO2446|p34-Arc	MIM:604224|HGNC:HGNC:705|Ensembl:ENSG00000163466	2	2q35	actin related protein 2/3 complex subunit 2	protein-coding	ARPC2	actin related protein 2/3 complex subunit 2	"actin-related protein 2/3 complex subunit 2|ARP2/3 protein complex subunit 34|actin related protein 2/3 complex, subunit 2, 34kDa|arp2/3 complex 34 kDa subunit|testis tissue sperm-binding protein Li 53e"	20210302
SGK2	H-SGK2|dJ138B7.2	MIM:607589|HGNC:HGNC:13900|Ensembl:ENSG00000101049	20	20q13.12	serum/glucocorticoid regulated kinase 2	protein-coding	SGK2	serum/glucocorticoid regulated kinase 2	"serine/threonine-protein kinase Sgk2|SGK2, serine/threonine kinase 2"	20210302
RAD50	NBSLD|RAD502|hRad50	MIM:604040|HGNC:HGNC:9816|Ensembl:ENSG00000113522	5	5q31.1	RAD50 double strand break repair protein	protein-coding	RAD50	RAD50 double strand break repair protein	"DNA repair protein RAD50|RAD50 homolog, double strand break repair protein"	20210302
KIF20A	MKLP2|RAB6KIFL	MIM:605664|HGNC:HGNC:9787|Ensembl:ENSG00000112984	5	5q31.2	kinesin family member 20A	protein-coding	KIF20A	kinesin family member 20A	"kinesin-like protein KIF20A|GG10_2|RAB6 interacting, kinesin-like (rabkinesin6)|mitotic kinesin-like protein 2|rab6-interacting kinesin-like protein|rabkinesin-6"	20210307
PREB	SEC12	MIM:606395|HGNC:HGNC:9356|Ensembl:ENSG00000138073	2	2p23.3	prolactin regulatory element binding	protein-coding	PREB	prolactin regulatory element binding	prolactin regulatory element-binding protein|mammalian guanine nucleotide exchange factor mSec12	20210302
HIPK3	DYRK6|FIST3|PKY|YAK1	MIM:604424|HGNC:HGNC:4915|Ensembl:ENSG00000110422	11	11p13	homeodomain interacting protein kinase 3	protein-coding	HIPK3	homeodomain interacting protein kinase 3	homeodomain-interacting protein kinase 3|ANPK|FIST|androgen receptor-interacting nuclear protein kinase|fas-interacting serine/threonine-protein kinase|homolog of protein kinase YAK1	20210302
FEM1B	F1A-ALPHA|F1AA|FEM1-beta	MIM:613539|HGNC:HGNC:3649|Ensembl:ENSG00000169018	15	15q23	fem-1 homolog B	protein-coding	FEM1B	fem-1 homolog B	protein fem-1 homolog B|FEM-1-like death receptor binding protein|fem-1-like death receptor-binding protein alpha|fem-1-like in apoptotic pathway protein alpha	20210307
ENAM	ADAI|AI1C|AIH2	MIM:606585|HGNC:HGNC:3344|Ensembl:ENSG00000132464	4	4q13.3	enamelin	protein-coding	ENAM	enamelin	"enamelin|amelogenesis imperfecta 2, hypocalcification (autosomal dominant)"	20210302
EMWX	-	MIM:300211	X	Xp22.3	"episodic muscle weakness, X-linked"	unknown	-	-	-	20191002
ACTR1B	ARP1B|CTRN2|PC3	MIM:605144|HGNC:HGNC:168|Ensembl:ENSG00000115073	2	2q11.2	actin related protein 1B	protein-coding	ACTR1B	actin related protein 1B	"beta-centractin|ARP1 actin related protein 1 homolog B|ARP1 actin-related protein 1 homolog B, centractin beta|centractin beta"	20210302
